tsr,cp,cd,u_infty,dsflag,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,-0.00315647275,0.218396125,1.0,1.0,24.0,16.0,6.0,1.0,0.02072677154319889
1.6,-0.00670940225,0.270940775,1.0,1.0,24.0,16.0,6.0,1.0,0.03059196533014325
2.1,-0.00102567325,0.332258475,1.0,1.0,24.0,16.0,6.0,1.0,0.0372144559750978
2.6,0.12695467500000002,0.490863125,1.0,1.0,24.0,16.0,6.0,1.0,0.04602941905574101
3.1,0.274421625,0.685369425,1.0,1.0,24.0,16.0,6.0,1.0,0.055216100089603835
3.6,0.31433085,0.8301228,1.0,1.0,24.0,16.0,6.0,1.0,0.06356130248205816
4.1,0.2983122500000001,0.927254775,1.0,1.0,24.0,16.0,6.0,1.0,0.07160239692812567
4.6,0.265006,1.0054273,1.0,1.0,24.0,16.0,6.0,1.0,0.08174943616123449
