tsr,cp,cd,u_infty,dsflag,tp,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.017714340000000002,0.249859375,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.01038525072717495
1.6,0.0471062625,0.339708675,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.015301246704533063
2.1,0.1177046,0.4619818499999999,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.01910827818113032
2.6,0.207465675,0.6050525,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.023671233949451646
3.1,0.274607625,0.746856375,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.02790021108912974
3.6,0.31161949999999994,0.8634392249999999,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.03423978017568617
4.1,0.34354515,0.952859525,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.0385358326931893
4.6,0.290127025,1.0311112500000001,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.04616850484838617
