tsr,cp,cd,u_infty,dsflag,tp,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.009401467,0.103447925,1.0,1.0,1.7,24.0,16.0,8.0,1.0,0.01141034016167329
1.6,0.052512252500000016,0.199806925,1.0,1.0,1.7,24.0,16.0,8.0,1.0,0.015668413456968323
2.1,0.16068975000000002,0.383775275,1.0,1.0,1.7,24.0,16.0,8.0,1.0,0.01977111533753436
2.6,0.3771134,0.7032078,1.0,1.0,1.7,24.0,16.0,8.0,1.0,0.02465120892075314
3.1,0.42637529999999996,0.8757684000000001,1.0,1.0,1.7,24.0,16.0,8.0,1.0,0.028919481292504694
3.6,0.391330475,0.95103215,1.0,1.0,1.7,24.0,16.0,8.0,1.0,0.033902963900770765
4.1,0.327816075,1.005470725,1.0,1.0,1.7,24.0,16.0,8.0,1.0,0.03652511355749925
4.6,0.249726025,1.0679655000000001,1.0,1.0,1.7,24.0,16.0,8.0,1.0,0.041406934403666315
