tsr,cp,cd,u_infty,dsflag,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.0110413825,0.247279375,1.0,2.0,24.0,16.0,6.0,1.0,0.020592867539398586
1.6,0.0245344925,0.3236562,1.0,2.0,24.0,16.0,6.0,1.0,0.03016645547367706
2.1,0.072341315,0.43990535,1.0,2.0,24.0,16.0,6.0,1.0,0.03817481417434377
2.6,0.16325995,0.57827155,1.0,2.0,24.0,16.0,6.0,1.0,0.047185643389947976
3.1,0.23952625,0.728132025,1.0,2.0,24.0,16.0,6.0,1.0,0.055098810710353684
3.6,0.28803625,0.8558967000000001,1.0,2.0,24.0,16.0,6.0,1.0,0.06421470138020906
4.1,0.326156125,0.949130325,1.0,2.0,24.0,16.0,6.0,1.0,0.07231282292044215
4.6,0.275123075,1.0284084999999998,1.0,2.0,24.0,16.0,6.0,1.0,0.0809624622617496
