tsr,cp,cd,u_infty,dsflag,tp,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.0007272336500000001,0.243699575,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.009299881872046905
1.6,0.008568305250000002,0.337130375,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.012965164692287064
2.1,0.0499971875,0.448329575,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.015742058602793076
2.6,0.14444327499999998,0.592817625,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.020734784124097884
3.1,0.224049025,0.7375189,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.03144980841714315
3.6,0.25325250000000005,0.83243855,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.028664175378624982
4.1,0.28435959999999993,0.908647875,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.03337119310189485
4.6,0.254700675,0.97731425,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.03727721319555213
