tsr,cp,cd,u_infty,dsflag,tp,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.009926515,0.24828655,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.010568011597226729
1.6,0.021830095,0.324973275,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.017291711625889068
2.1,0.0668650975,0.4414978000000001,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.02123712976489052
2.6,0.15345395,0.58008025,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.027941315834768082
3.1,0.22329795,0.7301025,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.030927424469885008
3.6,0.2628586,0.857951475,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.03296061858655689
4.1,0.28921565000000005,0.9512261000000001,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.038123572040211336
4.6,0.22297452500000003,1.0304967499999997,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.04141923087084577
