tsr,cp,cd,u_infty,dsflag,tp,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.023457675,0.25283665,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.010865676578647692
1.6,0.116023175,0.39161825,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.016334314448840148
2.1,0.1996022,0.5255933,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.0190996418663889
2.6,0.27833592500000004,0.6575804,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.02388348166554913
3.1,0.32540430000000004,0.7809404249999999,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.0276860304835425
3.6,0.362020625,0.889231075,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.03222924610388344
4.1,0.376986975,0.96704595,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.036473686359479514
4.6,0.3057934,1.03210275,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.040951965118026616
