tsr,cp,cd,u_infty,dsflag,tp,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.0356334225,0.13457249999999998,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.012462572299644668
1.6,0.12095585,0.29301765,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.015626959146209502
2.1,0.241026325,0.49537445,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.02039552089333908
2.6,0.38061290000000003,0.7305457750000001,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.030935772907468382
3.1,0.4340587,0.8876972,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.032934730204986766
3.6,0.4168209749999999,0.98128145,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.03210266240495919
4.1,0.349610075,1.0423440000000002,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.03642731757437973
4.6,0.25347762500000004,1.0910735,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.04079778633723811
