tsr,cp,cd,u_infty,dsflag,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.03368614,0.252939625,3.0,2.0,24.0,16.0,6.0,1.0,0.0631882136852288
1.6,0.0905451,0.376398725,3.0,2.0,24.0,16.0,6.0,1.0,0.09298925708629108
2.1,0.18551995,0.5068166749999999,3.0,2.0,24.0,16.0,6.0,1.0,0.11704624642752615
2.6,0.3116373,0.663092475,3.0,2.0,24.0,16.0,6.0,1.0,0.14336611473224664
3.1,0.4074542250000001,0.801486225,3.0,2.0,24.0,16.0,6.0,1.0,0.16816747215357564
3.6,0.482158025,0.91214985,3.0,2.0,24.0,16.0,6.0,1.0,0.1939647200405153
4.1,0.462833225,0.993225625,3.0,2.0,24.0,16.0,6.0,1.0,0.2194676752213139
4.6,0.41624715,1.0596130000000001,3.0,2.0,24.0,16.0,6.0,1.0,0.24685252450957654
