tsr,cp,cd,u_infty,dsflag,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,-0.0152416225,0.221724675,1.0,0.0,24.0,16.0,6.0,1.0,0.020778644265391808
1.6,-0.031239835,0.27171895,1.0,0.0,24.0,16.0,6.0,1.0,0.03012434315798557
2.1,-0.0529594975,0.32712935,1.0,0.0,24.0,16.0,6.0,1.0,0.037088941534189145
2.6,-0.0030498659999999996,0.4415204250000001,1.0,0.0,24.0,16.0,6.0,1.0,0.046508446646731816
3.1,0.124655625,0.631375675,1.0,0.0,24.0,16.0,6.0,1.0,0.05441547258776585
3.6,0.2185301,0.810144575,1.0,0.0,24.0,16.0,6.0,1.0,0.06370145753271891
4.1,0.297528775,0.9385931,1.0,0.0,24.0,16.0,6.0,1.0,0.0722408810478025
4.6,0.2812127,1.0281052499999999,1.0,0.0,24.0,16.0,6.0,1.0,0.07959786969886073
