tsr,cp,cd,u_infty,dsflag,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
1.1,0.0189117875,0.251571775,1.5,2.0,24.0,16.0,6.0,1.0,0.031655630303819945
1.6,0.0524723575,0.3498199,1.5,2.0,24.0,16.0,6.0,1.0,0.04569712656473778
2.1,0.11848804999999996,0.4707001000000001,1.5,2.0,24.0,16.0,6.0,1.0,0.056348499161873365
2.6,0.222318675,0.61247285,1.5,2.0,24.0,16.0,6.0,1.0,0.07029516046186872
3.1,0.301458775,0.759075675,1.5,2.0,24.0,16.0,6.0,1.0,0.08229124838955182
3.6,0.381960625,0.8782494249999999,1.5,2.0,24.0,16.0,6.0,1.0,0.09609997540553422
4.1,0.393857825,0.9685173,1.5,2.0,24.0,16.0,6.0,1.0,0.10734626671242878
4.6,0.34488070000000004,1.04471,1.5,2.0,24.0,16.0,6.0,1.0,0.12202257323214934
