alpha_deg,cl,cd,cm
-180.0,0.0,0.025,0.06
-175.0,0.66,0.055,0.31
-170.0,0.85,0.14,0.425
-165.0,0.68,0.23,0.35
-160.0,0.635,0.32,0.3
-155.0,0.67,0.42,0.33
-150.0,0.77,0.575,0.38
-145.0,0.9,0.755,0.38
-140.0,0.98,0.925,0.475
-135.0,0.93,1.085,0.525
-130.0,0.85,1.225,0.44
-125.0,0.76,1.35,0.49
-120.0,0.67,1.465,0.54
-115.0,0.575,1.555,0.39
-110.0,0.45,1.635,0.19
-105.0,0.32,1.7,0.45
-100.0,0.185,1.75,0.45
-95.0,0.05,1.78,0.415
-90.0,-0.09,1.8,0.42
-85.0,-0.23,1.8,0.38
-80.0,-0.365,1.78,0.21
-75.0,-0.5,1.735,0.3
-70.0,-0.63,1.665,0.41
-65.0,-0.76,1.575,0.15
-60.0,-0.875,1.47,0.27
-55.0,-0.955,1.345,0.05
-50.0,-1.02,1.215,0.265
-45.0,-1.05,1.075,0.155
-40.0,-1.035,0.92,0.165
-35.0,-0.98,0.745,0.14
-30.0,-0.855,0.57,0.13
-25.0,-1.1623999999999999,0.405,0.06
-22.0,-1.1268500000000001,0.329,0.04
-21.0,-1.1226,0.3055,0.03
-20.0,-1.1183,0.282,0.025
-19.0,-1.1183999999999998,0.17675,0.0125
-18.0,-1.1200999999999999,0.08175,0.0
-17.0,-1.12325,0.027999999999999997,-0.022
-16.0,-1.1256499999999998,0.02545,-0.038
-15.0,-1.1228,0.023149999999999997,-0.05
-14.0,-1.11185,0.0211,-0.0475
-13.0,-1.08985,0.01925,-0.0435
-12.0,-1.05815,0.01745,-0.041
-11.0,-1.013,0.0159,-0.038
-10.0,-0.9551499999999999,0.014450000000000001,-0.035
-9.0,-0.8839999999999999,0.0132,-0.0275
-8.0,-0.8041,0.0121,-0.0225
-7.0,-0.7178,0.0111,-0.015
-6.0,-0.62295,0.0103,-0.0075
-5.0,-0.5346,0.009649999999999999,0.0
-4.0,-0.44,0.00925,0.0
-3.0,-0.33,0.0089,0.0
-2.0,-0.22,0.0087,0.0
-1.0,-0.11,0.0086,0.0
0.0,0.0,0.00855,0.0
1.0,0.11,0.0086,0.0
2.0,0.22,0.0087,0.0
3.0,0.33,0.0089,0.0
4.0,0.44,0.00925,0.0
5.0,0.5346,0.009649999999999999,0.0
6.0,0.62295,0.0103,0.0075
7.0,0.7178,0.0111,0.015
8.0,0.8041,0.0121,0.0225
9.0,0.8839999999999999,0.0132,0.0275
10.0,0.9551499999999999,0.014450000000000001,0.035
11.0,1.013,0.0159,0.038
12.0,1.05815,0.01745,0.041
13.0,1.08985,0.01925,0.0435
14.0,1.11185,0.0211,0.0475
15.0,1.1228,0.023149999999999997,0.05
16.0,1.1256499999999998,0.02545,0.038
17.0,1.12325,0.027999999999999997,0.022
18.0,1.1200999999999999,0.08175,0.0
19.0,1.1183999999999998,0.17675,-0.0125
20.0,1.1183,0.282,-0.025
21.0,1.1226,0.3055,-0.03
22.0,1.1268500000000001,0.329,-0.04
25.0,1.1623999999999999,0.405,-0.06
30.0,0.855,0.57,-0.13
35.0,0.98,0.745,-0.14
40.0,1.035,0.92,-0.165
45.0,1.05,1.075,-0.155
50.0,1.02,1.215,-0.265
55.0,0.955,1.345,-0.05
60.0,0.875,1.47,-0.27
65.0,0.76,1.575,-0.15
70.0,0.63,1.665,-0.41
75.0,0.5,1.735,-0.3
80.0,0.365,1.78,-0.21
85.0,0.23,1.8,-0.38
90.0,0.09,1.8,-0.42
95.0,-0.05,1.78,-0.415
100.0,-0.185,1.75,-0.45
105.0,-0.32,1.7,-0.45
110.0,-0.45,1.635,-0.19
115.0,-0.575,1.555,-0.39
120.0,-0.67,1.465,-0.54
125.0,-0.76,1.35,-0.49
130.0,-0.85,1.225,-0.44
135.0,-0.93,1.085,-0.525
140.0,-0.98,0.925,-0.475
145.0,-0.9,0.755,-0.38
150.0,-0.77,0.575,-0.38
155.0,-0.67,0.42,-0.33
160.0,-0.635,0.32,-0.3
165.0,-0.68,0.23,-0.35
170.0,-0.85,0.14,-0.425
175.0,-0.66,0.055,-0.31
180.0,0.0,0.025,-0.06
