alpha,cl
-3.8552036199094744,-0.20408163265306034
-2.117647058823536,-0.08435374149659847
-0.10859728506787292,0.04625850340136095
1.9004524886877903,0.17687074829932015
3.8009049773755663,0.29931972789115635
5.701357466063342,0.4272108843537419
7.656108597285041,0.5578231292517006
9.502262443438909,0.6857142857142858
11.511312217194558,0.8054421768707484
13.411764705882362,0.9142857142857143
15.420814479637997,0.9986394557823126
17.53846153846149,1.0693877551020405
19.330316742081422,1.1102040816326526
21.33936651583707,1.10204081632653
23.402714932126642,1.0884353741496595
25.303167420814447,1.0530612244897954
27.366515837104046,1.0040816326530608
