alpha,cl,cd,cm
-1.0,-0.12,0.0117,-0.00
0.0,-0.01,0.0115,-0.00
1.0,0.10,0.0115,-0.01
2.0,0.21,0.0119,-0.01
3.0,0.31,0.0125,-0.01
4.0,0.41,0.0133,-0.01
5.0,0.50,0.0141,-0.01
6.0,0.59,0.0151,-0.01
7.0,0.67,0.0161,-0.01
8.0,0.76,0.0174,-0.02
9.0,0.84,0.0188,-0.02
10.0,0.93,0.0204,-0.01
11.0,1.01,0.0224,-0.01
12.0,1.10,0.0246,-0.02
13.0,1.18,0.0271,-0.02
14.0,1.26,0.0334,-0.02
15.0,1.33,nan,-0.00
16.0,1.35,nan,-0.04
17.0,1.27,nan,-0.11
18.0,1.25,nan,-0.12
19.0,1.22,nan,-0.10
