alpha,cl
-4.008915183042921,-0.1851165062954423
-2.1132770543898634,-0.06881614363402422
0.016184773830408616,0.05652048400047183
1.8597623474934561,0.1754154594509938
3.8067317345687783,0.32277824592488
5.83294199871672,0.41317455549724813
7.80596971315504,0.5579455341688296
9.649126538798228,0.6962580307356426
11.751576344143828,0.8681995140360369
13.56988098674761,0.9534402578717863
15.544423394057404,1.0283081605247193
17.52003169635083,1.053985009683048
19.469890219829153,1.068014151158401
19.819503774460358,0.533348604928128
21.925628112512697,0.5357104038129119
23.77184237376683,0.5329222469346753
27.77573663043949,0.5532023014916685
